Network;Species;Group;Kingdom;Phylum;Class;Order;Family;Genus;BodyWeight;FeedingMode;MetabolicCategory;TrophicLevel;FeedingType;Mobility;Environment;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;Vulnerability;Generality
loughhyne;Zeugopterus_172829;I;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Scophthalmidae;Zeugopterus;347.48;"predator";"ectotherm vertebrate";3.35;"carnivorous";4;"demersal";1941;57;520;0;54;0;0;0;873;0;12;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;63
loughhyne;Cirratulus_67118;I;Animalia;Annelida;Polychaeta;Canalipalpata;Cirratulidae;Cirratulus;9.32E-01;"grazer";"invertebrate";2;"herbivorous/detrivorous";2;"benthic";3;1851;0;130;106;2;0;0;230;571;0;8;131;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;3
loughhyne;Semibalanus_89687;I;Animalia;Arthropoda;Maxillopoda;Sessilia;Archaeobalanidae;Semibalanus;NULL;NULL;NULL;NULL;NULL;NULL;NULL;33;337;13;104;114;2;0;0;570;81;21;40;8;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;14;11
loughhyne;Acanthodoris_78359;I;Animalia;Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Acanthodoris;3.01E-01;"predator";"invertebrate";2.5;"omnivorous";2;"benthic";1;641;3;38;16;0;0;0;33;24;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2
loughhyne;Phalacrocorax_174715;T;Animalia;Chordata;Aves;Ciconiiformes;Phalacrocoracidae;Phalacrocorax;4290.37;"predator/scavenger";"endotherm vertebrate";4.29;"carnivorous";4;"land-based";134;0;610;0;0;0;0;0;184;0;18;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18
loughhyne;Oikopleura_159669;I;Animalia;Chordata;Appendicularia;Copelata;Oikopleuridae;Oikopleura;4.01E-05;"grazer";"invertebrate";2;"herbivorous";4;"pelagic";10;42;0;125;18;0;0;0;176;2;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5
loughhyne;Melita_93807;I;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Melita;5.05E-03;"grazer";"invertebrate";2;"herbivorous/detrivorous";3;"benthic";1;1455;0;47;29;2;0;0;115;101;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2
loughhyne;Molva_164760;I;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Molva;45000;"predator";"ectotherm vertebrate";3.71;"carnivorous";4;"demersal";1092;66;775;0;92;0;0;0;392;1;233;12;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;52
loughhyne;Littorina_70419;I;Animalia;Mollusca;Gastropoda;Neotaenioglossa;Littorinidae;Littorina;1.02E-02;"grazer";"invertebrate";2;"herbivorous/detrivorous";2;"benthic";528;961;0;137;595;3;0;0;899;154;0;98;55;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;33
loughhyne;Arnoglossus_172805;I;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Bothidae;Arnoglossus;131.17;"predator";"ectotherm vertebrate";3.39;"carnivorous";4;"demersal";3355;62;578;0;159;0;0;0;1392;0;130;9;1;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;84
loughhyne;Conger_161341;I;Animalia;Chordata;Actinopterygii;Anguilliformes;Congridae;Conger;10100;"predator";"ectotherm vertebrate";3.96;"carnivorous";4;"demersal";558;57;877;0;63;0;0;0;624;1;300;21;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;42
